user_uuid,first_name,birthday,city,country,is_new_user
27859,Élodie Le Roux,1968-03-10,Berger-les-Bains,Émirats arabes unis,True
31111,Margot Deschamps,1983-09-25,Clément-sur-Mer,Géorgie,False
25356,Bernard Lopes,1991-09-07,Danielboeuf,Trinité et Tobago,True
34248,Dominique Vaillant de Delannoy,1986-12-02,Saint Dominique,Slovaquie,True
25123,Pierre Paul,1938-12-13,Sainte AdrienneBourg,Israël,False
31494,Xavier du Étienne,1993-11-28,Gay-sur-Dubois,Guinée,True
33036,Gilbert Delahaye,1967-04-20,Chauvet,Zimbabwe,False
32164,Corinne Hoarau,1984-04-03,Clément-sur-Guibert,Bahamas,False
32440,Benjamin Barthelemy du Gilles,1998-10-25,Bègue-sur-Loiseau,Zimbabwe,True
29711,Adrien Raynaud,1968-07-19,Gimenez,Slovénie,True
27298,Dorothée Vidal-Gay,1965-03-26,Lopezdan,Suisse,True
27273,Emmanuel Loiseau,1938-12-21,GonzalezBourg,Samoa,True
27047,Julien Le De Oliveira,2001-11-12,Bertin,Libye,False
28931,Inès Delannoy,1956-08-28,Fernandesdan,Jordanie,True
32382,Benoît Becker,1978-12-07,Becker,Slovénie,True
28161,Martine Munoz,1984-09-29,Martins,Roumanie,False
28260,Jean-Richard Louis,1953-08-03,Gaudin,Israël,True
28324,Josette Le Rocher,1932-10-04,Seguin-sur-Raymond,Canada,True
29547,Agnès Merle-Garnier,1934-12-07,Sainte Jérôme-la-Forêt,Qatar,False
24835,Martin Le Rolland,1981-05-16,Collin,Namibie,False
31633,Hortense Pineau,1974-03-25,Vidal-sur-Laroche,Estonie,True
30440,Denise Deschamps,1944-05-15,Michel-sur-Mer,Guinée-Bissau,True
34197,Corinne Voisin,1936-11-21,Bailly-sur-Pinto,Nouvelle-Zélande,False
33688,Anne-Chantal Maréchal,1997-01-15,Sainte Élodie,Sri Lanka,True
26285,Lucas Lacroix,1982-11-23,GuillouVille,Autriche,True
28977,Timothée Masson,1983-09-20,Vincentnec,Tokelau,True
27416,Alice Garcia,1944-03-27,Weiss-les-Bains,Guyane,False
34390,Grégoire Letellier,1964-02-11,Huet,Cocos (Îles),True
28239,Étienne Carpentier de la Mace,1977-03-08,Hubert,Bhoutan,True
31496,Claude Blin du Buisson,1990-05-16,Sauvage,Sainte Lucie,False
29647,Adèle Aubert,1971-05-31,Thierry-sur-Labbé,Gibraltar,False
29702,Hélène Lelièvre de Martinez,1941-05-27,Saint Jacqueline-la-Forêt,Bolivie,True
24858,Timothée Antoine,1960-05-05,BazinBourg,Slovaquie,False
33284,Arnaude Maurice-Allain,1968-02-21,BaudryVille,Bouvet (Îles),False
24984,Noël Michaud,1932-08-25,Merle,Zaïre,False
31140,Margaud Le Roux,1961-08-22,Rémyboeuf,Canada,True
33882,Geneviève du Simon,1994-10-05,Saint Monique,Malte,True
33915,Claudine Lacroix,1995-03-02,Sainte Jeanneboeuf,Maldives (Îles),False
33037,Pierre Guilbert,1962-07-11,Bruneau,Japon,False
32267,Thibaut Renard,1995-01-16,Sainte Charlotte,Guadeloupe,False
30850,Julie Brun,1937-06-27,Lambert,Sierra Leone,False
32045,Louise Pineau,1970-10-10,Ruiz,Zimbabwe,False
34056,Aimée François,1974-06-30,Paris,Dominique,False
30422,Bernard-Jules Picard,1933-05-07,Sainte Théophile,États-Unis,False
25180,Marianne Diaz de Sanchez,1978-09-05,Muller,Moldavie,False
28890,Constance-Françoise Alexandre,2001-10-25,Saint Michelle-la-Forêt,Turquie,False
31520,Margaret Barre,1932-03-01,Nicolas-sur-Mer,Vierges (Îles),True
29917,Alain-Louis Fernandez,1977-11-28,Pelletier,Kirghizistan,True
30910,Nath Vallée,1936-11-09,Laroche,Gibraltar,True
33232,Christine Boulanger,2000-10-10,Carlier-sur-Faure,Cameroun,True
34154,Franck Hebert,1942-01-20,Sainte Pierre-la-Forêt,Macédoine,False
25022,Margot Le Roux,1964-07-30,Saint Michelle,Bouvet (Îles),False
25317,André Gérard,1978-07-17,Sainte Marguerite,Pakistan,True
26605,Christelle Morvan,1956-05-23,Sainte Emmanueldan,Mali,True
29219,Marthe Delahaye,1979-05-27,Chauveauboeuf,Zambie,True
33181,Virginie Lesage,1951-01-28,Bouvier,Niue,True
33882,Juliette Raymond,1983-06-07,Saint Margot,Équateur,True
